Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
91,34,3,10,8,108,100,97,93,90,0
81,31,4,9,6,72,72,66,68,68,0
3,2,0,0,0,82,93,0,0,0,0
82,33,3,7,6,108,104,93,93,90,0
171,60,4,19,16,104,104,97,93,90,0
139,51,8,16,14,104,99,90,90,82,0
152,58,2,21,17,104,100,90,90,86,0
117,48,7,10,11,104,104,97,91,86,0
134,55,5,25,20,104,104,93,90,90,0
108,44,7,15,14,104,102,97,88,86,0
127,46,3,21,18,108,108,97,93,90,0
98,39,8,9,11,108,108,100,93,90,0
138,47,2,18,17,111,108,93,93,90,0
95,40,7,12,11,115,111,102,95,90,0
117,48,3,18,14,108,104,93,93,86,0
83,37,3,12,11,108,106,97,90,86,0
130,49,3,19,17,108,104,100,93,90,0
108,43,3,18,10,108,104,100,93,86,0
111,41,3,17,12,108,108,99,93,88,0
102,44,1,13,10,108,104,99,93,88,0
98,40,2,16,12,108,108,95,97,90,0
108,46,1,13,9,111,111,95,82,79,0
124,58,3,20,14,111,108,104,95,93,0
113,57,2,14,10,108,108,93,91,86,0
0,0,0,0,0,0,0,0,0,0,0
27,12,1,1,0,90,86,68,48,0,0
99,42,2,18,13,108,104,95,93,90,0
2,2,0,0,0,84,82,0,0,0,0
3,1,0,0,0,82,21,0,0,0,0
97,48,2,14,6,108,104,93,90,86,0
4,1,0,0,0,3,3,0,0,0,0
118,51,2,22,13,108,104,90,93,88,0
121,53,6,12,7,104,104,86,90,86,0
2,4,0,1,0,5,3,0,0,0,0
100,40,2,20,11,108,104,93,93,90,0
100,44,5,17,7,108,104,93,93,90,0
101,42,0,17,12,108,104,0,93,90,0
103,40,3,14,10,104,104,93,86,81,0
123,54,3,19,16,108,104,95,93,90,0
117,52,6,15,13,108,104,93,91,88,0
9,4,0,1,0,68,63,0,64,0,0
58,28,1,10,14,75,72,72,70,68,0
94,46,1,10,15,104,104,97,93,90,0
101,47,0,14,13,108,104,0,93,90,0
6,8,0,3,0,68,61,0,61,0,0
43,17,1,3,3,68,68,64,68,68,0
90,38,3,12,9,108,100,97,91,88,0
